dataset,split,metric,class_name,method_column,value_percent,source_log,notes
ScanNet,validation,mIoU,window,GAMPoint w/o EnhancedRPE,70.58,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,window,GAMPoint,70.11,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,bookshelf,BaseOpt,82.18,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,bookshelf,GAMPoint w/o EnhancedRPE,81.95,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,bookshelf,GAMPoint,83.91,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,picture,BaseOpt,41.23,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,picture,GAMPoint w/o EnhancedRPE,36.2,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,picture,GAMPoint,38.56,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,counter,BaseOpt,65.6,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,counter,GAMPoint w/o EnhancedRPE,67.61,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,counter,GAMPoint,71.43,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,desk,BaseOpt,73.77,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,desk,GAMPoint w/o EnhancedRPE,71.41,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,desk,GAMPoint,70.84,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,curtain,BaseOpt,74.77,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,curtain,GAMPoint w/o EnhancedRPE,78.87,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,curtain,GAMPoint,77.4,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,refridgerator,BaseOpt,71.29,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,refridgerator,GAMPoint w/o EnhancedRPE,71.16,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,refridgerator,GAMPoint,66.79,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,shower,BaseOpt,70.3,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,shower,GAMPoint w/o EnhancedRPE,72.89,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,shower,GAMPoint,71.51,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,toilet,BaseOpt,93.47,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,toilet,GAMPoint w/o EnhancedRPE,94.14,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,toilet,GAMPoint,94.21,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,sink,BaseOpt,71.22,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,sink,GAMPoint w/o EnhancedRPE,69.64,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,sink,GAMPoint,69.21,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,bathtub,BaseOpt,90.06,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,bathtub,GAMPoint w/o EnhancedRPE,91.96,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,bathtub,GAMPoint,90.61,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,otherfurniture,BaseOpt,63.19,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,otherfurniture,GAMPoint w/o EnhancedRPE,61.44,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
ScanNet,validation,mIoU,otherfurniture,GAMPoint,64.87,logs_excerpt/scannet_table4_results_excerpt.txt,Transcribed from the user-provided Table 4 ScanNet screenshot.
